Title,Source,Published,Link
Tesla Stock Heads For Worst Year Ever,"{'name': 'WSJ', 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.wsj.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Gunjan Banerji']}","11/30/2022, 08:00 AM, +0000 UTC",https://www.wsj.com/livecoverage/stock-market-news-today-11-30-2022/card/tesla-stock-heads-for-worst-year-ever-7mdc5kzgD2DBOu0AG7D1
"After $700 billion drop, angry Tesla investors say Elon Musk has ""abandoned"" them","{'name': 'CBS News', 'icon': 'https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.cbsnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Aimee Picchi']}","12/15/2022, 08:00 AM, +0000 UTC",https://www.cbsnews.com/news/elon-musk-tesla-down-700-billion-in-value-angry-investors/
Elon Musk Has Sold Nearly $40 Billion of Tesla Stock in 14 Months,"{'name': 'markets.businessinsider.com', 'icon': 'https://encrypted-tbn0.gstatic.com/faviconV2?url=https://markets.businessinsider.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Theron Mohamed']}","12/16/2022, 08:00 AM, +0000 UTC",https://markets.businessinsider.com/news/stocks/elon-musk-tesla-stock-sales-profits-electric-vehicles-twitter-debt-2022-12
Tesla Stock Down 50% On The Year: To Buy Or Not To Buy?,"{'name': 'InsideEVs', 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://insideevs.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Peter Mcguthrie']}","12/20/2022, 08:00 AM, +0000 UTC",https://insideevs.com/news/627521/tesla-stock-down-50-percent-buy-or-not/
Tesla Stock Falls Despite Elon Musk's Search for New Twitter CEO,"{'name': 'WSJ', 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.wsj.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Charley Grant']}","12/20/2022, 08:00 AM, +0000 UTC",https://www.wsj.com/livecoverage/stock-market-news-today-12-20-2022/card/tesla-stock-falls-despite-elon-musk-s-search-for-new-twitter-ceo-VPpqSAx5gEq3aKd6sxgD
"Tesla has surpassed Apple as retail investors' favorite stock in 2022, research firm says","{'name': 'markets.businessinsider.com', 'icon': 'https://encrypted-tbn0.gstatic.com/faviconV2?url=https://markets.businessinsider.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Carla Mozée']}","12/21/2022, 08:00 AM, +0000 UTC",https://markets.businessinsider.com/news/stocks/tesla-tsla-apple-stock-price-investors-popular-favorite-retail-markets-2022-12
"'Big Short' Michael Burry Called Crash in Tesla Stock, Down Almost 70%","{'name': 'markets.businessinsider.com', 'icon': 'https://encrypted-tbn0.gstatic.com/faviconV2?url=https://markets.businessinsider.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Theron Mohamed']}","12/21/2022, 08:00 AM, +0000 UTC",https://markets.businessinsider.com/news/stocks/big-short-michael-burry-tesla-stock-price-crash-elon-musk-2022-12
Here’s How Tesla Stock’s 69% Crash In 2022 Compares To Other Slumping Stocks,"{'name': 'Forbes', 'icon': 'https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.forbes.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Derek Saul']}","12/23/2022, 08:00 AM, +0000 UTC",https://www.forbes.com/sites/dereksaul/2022/12/23/heres-how-tesla-stocks-69-crash-in-2022-compares-to-other-slumping-stocks/
Stock Market News Today: Dow Rises 100 Points On Inflation Data; Tesla Stock Falls,"{'name': 'WSJ', 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.wsj.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Charley Grant', 'Dean Seal', 'Bob Henderson']}","12/23/2022, 08:00 AM, +0000 UTC",https://www.wsj.com/livecoverage/stock-market-news-today-12-23-2022
Why Tesla Is One Stock I'd Avoid in 2023,"{'name': 'The Motley Fool', 'icon': 'https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.fool.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Bradley Guichard']}","12/26/2022, 08:00 AM, +0000 UTC",https://www.fool.com/investing/2022/12/26/tesla-is-one-stock-id-avoid-in-2023/
Tesla stock marks lowest close in years as investors worry about Musk’s focus,"{'name': 'The Guardian', 'icon': 'https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.theguardian.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Kari Paul']}","12/27/2022, 08:00 AM, +0000 UTC",https://www.theguardian.com/technology/2022/dec/27/tesla-stock-drops-lowest-close-years-elon-musk
Why Tesla Stocks Dropped So Much in 2022,"{'name': 'Time Magazine', 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://time.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Esha Dey']}","12/27/2022, 08:00 AM, +0000 UTC",https://time.com/6243613/why-tesla-stock-down/
Bitcoin beats Tesla stock in 2022 as BTC price heads for 60% losses,"{'name': 'Cointelegraph', 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://cointelegraph.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['William Suberg']}","12/28/2022, 08:00 AM, +0000 UTC",https://cointelegraph.com/news/bitcoin-beats-tesla-stock-in-2022-as-btc-price-heads-for-60-losses
"'Big Short' Michael Burry in 2022: Crash, Recession, Stocks, Tesla","{'name': 'markets.businessinsider.com', 'icon': 'https://encrypted-tbn0.gstatic.com/faviconV2?url=https://markets.businessinsider.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Theron Mohamed']}","12/29/2022, 08:00 AM, +0000 UTC",https://markets.businessinsider.com/news/stocks/big-short-michael-burry-highlights-stock-market-crash-recession-portfolio-2022-12
Tesla shares are down 70% for the year as Morgan Stanley cuts price target,"{'name': 'CNN', 'icon': 'https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.cnn.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Chris Isidore', 'Jordan Valinsky']}","12/29/2022, 08:00 AM, +0000 UTC",https://www.cnn.com/2022/12/29/business/tesla-stock/index.html
Tesla's 2022 Stock Plunge Is Worth Most Automakers Combined,"{'name': 'InsideEVs', 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://insideevs.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Steven Loveday']}","12/29/2022, 08:00 AM, +0000 UTC",https://insideevs.com/news/628705/tesla-stock-plunge-value-off-the-charts/
"Tesla Stock Fell 65% in 2022, Its Biggest-Ever Annual Decline","{'name': 'WSJ', 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.wsj.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Meghan Bobrowsky']}","12/30/2022, 08:00 AM, +0000 UTC",https://www.wsj.com/articles/tesla-stock-is-headed-for-its-biggest-ever-annual-decline-11672374248
Tesla stock: A look at a very bad 2022 for Elon Musk’s EV company,"{'name': 'Yahoo Finance', 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://finance.yahoo.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Tanya Kaushal']}","12/30/2022, 08:00 AM, +0000 UTC",https://finance.yahoo.com/news/tesla-stock-timeline-2022-elon-musk-ev-company-142300838.html
"Tesla stock closes out worst year ever with a 65% loss in 2022, wiping out more than $700 billion in market cap","{'name': 'markets.businessinsider.com', 'icon': 'https://encrypted-tbn0.gstatic.com/faviconV2?url=https://markets.businessinsider.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Brian Evans']}","12/30/2022, 08:00 AM, +0000 UTC",https://markets.businessinsider.com/news/stocks/tesla-stock-worst-year-ever-700-billion-market-cap-loss-2022-12
Rocky ride: Tesla stock down 70% in 2022,"{'name': 'Nevada Appeal', 'icon': 'https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.nevadaappeal.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Alex Veiga']}","01/01/2023, 08:00 AM, +0000 UTC",https://www.nevadaappeal.com/news/2023/jan/01/rocky-ride-tesla-stock-down-70-in-2022/
Tesla Stock Falls After Deliveries Miss 2022 Target,"{'name': 'WSJ', 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.wsj.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Caitlin McCabe']}","01/03/2023, 08:00 AM, +0000 UTC",https://www.wsj.com/livecoverage/stock-market-news-today-01-03-2023/card/tesla-falls-premarket-after-missing-2022-vehicle-delivery-target-vYkKGPmrizuP7gBMwHcQ
Tesla shares plunge 13 percent on growth concerns,"{'name': 'Al Jazeera', 'icon': 'https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.aljazeera.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}","01/03/2023, 08:00 AM, +0000 UTC",https://www.aljazeera.com/economy/2023/1/3/tesla-shares-plunge-14-percent-on-growth-concerns
Tesla stock plummeted 12% in a single day. Here's why,"{'name': 'ABC News', 'icon': 'https://encrypted-tbn3.gstatic.com/faviconV2?url=https://abcnews.go.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Max Zahn']}","01/04/2023, 08:00 AM, +0000 UTC",https://abcnews.go.com/Business/tesla-stock-plummeted-12-single-day/story?id=96177954
Tesla Short Sellers Earned $15.7B In Profits In 2022,"{'name': 'markets.businessinsider.com', 'icon': 'https://encrypted-tbn0.gstatic.com/faviconV2?url=https://markets.businessinsider.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}","01/04/2023, 08:00 AM, +0000 UTC",https://markets.businessinsider.com/news/stocks/tesla-short-sellers-earned-15-7b-in-profits-in-2022-1032000522
"Tesla stock is showing signs of 'retail exhaustion' as it undergoes a historic sell-off, research indicates","{'name': 'markets.businessinsider.com', 'icon': 'https://encrypted-tbn0.gstatic.com/faviconV2?url=https://markets.businessinsider.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Carla Mozée']}","01/05/2023, 08:00 AM, +0000 UTC",https://markets.businessinsider.com/news/stocks/tesla-stock-price-retail-exhaustion-selloff-elon-musk-purchases-tsla-2023-1
Tesla's stock lost over $700 billion in value. Elon Musk's Twitter deal didn't help,"{'name': 'NPR', 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.npr.org&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Camila Domonoske']}","01/06/2023, 08:00 AM, +0000 UTC",https://www.npr.org/2023/01/06/1146941980/tesla-shares-elon-musk-twitter-electric-cars
Tesla: A Stock for Our Times,"{'name': 'Morningstar', 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.morningstar.ca&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['John A Rekenthaler']}","01/06/2023, 08:00 AM, +0000 UTC",https://www.morningstar.ca/ca/news/230610/tesla-a-stock-for-our-times.aspx
"So, Just How Bad Was 2022 For US Investors?","{'name': 'Morningstar', 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.morningstar.co.uk&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Tom Lauricella']}","01/09/2023, 08:00 AM, +0000 UTC",https://www.morningstar.co.uk/uk/news/230635/so-just-how-bad-was-2022-for-us-investors.aspx
Tesla (TSLA) Stock Declined 71% in 2022,"{'name': 'Yahoo Finance', 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://finance.yahoo.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Soumya Eswaran']}","01/20/2023, 08:00 AM, +0000 UTC",https://finance.yahoo.com/news/tesla-tsla-stock-declined-71-115731039.html
Tesla posts record net income for fourth quarter of 2022,"{'name': 'USA Today', 'icon': 'https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.usatoday.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Natalie Alund']}","01/25/2023, 08:00 AM, +0000 UTC",https://www.usatoday.com/story/money/markets/2023/01/25/tesla-earnings-stock-price/11119576002/
"Tesla's stock is on a crazy ride, with a stunning rebound from 2022's freefall. Here's a timeline of the drama that drove it, from Elon Musk's Twitter gamble to aggressive price cuts","{'name': 'markets.businessinsider.com', 'icon': 'https://encrypted-tbn0.gstatic.com/faviconV2?url=https://markets.businessinsider.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Zahra Tayeb']}","02/19/2023, 08:00 AM, +0000 UTC",https://markets.businessinsider.com/news/stocks/tesla-stock-timeline-elon-musk-twitter-deal-price-cuts-2023-2
What you need to know about the Tesla stock split,"{'name': 'FOREX.com', 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.forex.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Joshua Gaunt-Warner']}","04/28/2023, 07:00 AM, +0000 UTC",https://www.forex.com/en-us/news-and-analysis/what-you-need-to-know-about-the-tesla-stock-split/
"Tesla's US market share now tops Volkswagen, Subaru, and BMW","{'name': 'Yahoo Finance', 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://finance.yahoo.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Pras Subramanian']}","01/09/2024, 08:00 AM, +0000 UTC",https://finance.yahoo.com/news/teslas-us-market-share-now-tops-volkswagen-subaru-and-bmw-161055575.html
"Markets News, Jan. 19, 2024: S&P 500 Closes at Record High as Tech Leads Broad Stock Rally","{'name': 'Investopedia', 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.investopedia.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Colin Laidley']}","01/19/2024, 08:00 AM, +0000 UTC",https://www.investopedia.com/dow-jones-today-01192024-8536160
"Stock Market Marvels: Apple, Tesla, Nvidia among Aswath Damodaran’s ‘Seven Samurai’ that rescued US market in 2023","{'name': 'Mint', 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.livemint.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}","02/09/2024, 08:00 AM, +0000 UTC",https://www.livemint.com/market/stock-market-news/stock-market-marvels-apple-tesla-nvidia-among-aswath-damodaran-s-seven-samurai-that-rescued-us-market-in-2023-11707458096421.html
Will Tesla (TSLA) Stock Split In 2024? December Edition,"{'name': 'Forbes', 'icon': 'https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.forbes.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Catherine E. Brock']}","02/22/2024, 08:00 AM, +0000 UTC",https://www.forbes.com/sites/investor-hub/article/will-tesla-tsla-stock-split-2024/
Tesla's 2-day slump has stock hitting lowest since May 2023,"{'name': 'Yahoo Finance', 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://finance.yahoo.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Pras Subramanian']}","03/05/2024, 08:00 AM, +0000 UTC",https://finance.yahoo.com/news/teslas-2-day-slump-has-stock-hitting-lowest-since-may-2023-210515980.html
Stock Market News: Tech Stocks Slide,"{'name': ""Barron's"", 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.barrons.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Connor Smith']}","04/19/2024, 07:00 AM, +0000 UTC",https://www.barrons.com/livecoverage/stock-market-today-041924
"Markets News, April 30, 2024: Dow Notches Worst Month Since September 2022; Eli Lilly, 3M Jump on Earnings","{'name': 'Investopedia', 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.investopedia.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Colin Laidley']}","04/30/2024, 07:00 AM, +0000 UTC",https://www.investopedia.com/dow-jones-today-04302024-8640937
Stock Market News: Dow Drops,"{'name': ""Barron's"", 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.barrons.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Connor Smith', 'Ben Levisohn']}","04/30/2024, 07:00 AM, +0000 UTC",https://www.barrons.com/livecoverage/stock-market-today-043024
Elon Musk accused of selling $7.5 billion of Tesla stock before releasing disappointing sales data that plunged the share price to two-year low,"{'name': 'Yahoo Finance', 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://finance.yahoo.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Christiaan Hetzner']}","06/03/2024, 07:00 AM, +0000 UTC",https://finance.yahoo.com/news/elon-musk-accused-selling-7-141507920.html
Elon Musk accused of improperly selling $7.5 billion in Tesla stock before weak sales report,"{'name': 'ABC11', 'icon': 'https://encrypted-tbn0.gstatic.com/faviconV2?url=https://abc11.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Chris Isidore']}","06/06/2024, 07:00 AM, +0000 UTC",https://abc11.com/post/elon-musk-accused-improperly-selling-75-billion-tesla/14917474/
"Markets News, June 7, 2024: Stocks Slip After Strong Jobs Report; Treasury Yields Jump","{'name': 'Investopedia', 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.investopedia.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Nisha Gopalan']}","06/07/2024, 07:00 AM, +0000 UTC",https://www.investopedia.com/dow-jones-today-06072024-8659945
Tesla Stock: How The SEC's Latest Elon Musk Investigation Could Hit Tesla,"{'name': ""Investor's Business Daily"", 'icon': 'https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.investors.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Kit Norton']}","06/17/2024, 07:00 AM, +0000 UTC",https://www.investors.com/news/tesla-stock-sec-latest-elon-musk-investigation/
"Stock market news today: Tech stocks drubbed as Nasdaq sinks 2.7%, worst day since 2022","{'name': 'Yahoo Finance', 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://finance.yahoo.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Karen Friar']}","07/17/2024, 07:00 AM, +0000 UTC",https://finance.yahoo.com/news/stock-market-news-today-tech-stocks-drubbed-as-nasdaq-sinks-27-worst-day-since-2022-152223807.html
